Timestamp,Direction,Status,CRC,Source,Destination,Command,Data,,,,,,
2022-02-25T13:14:51.815,RX,Valid,0xa24c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0xc8
2022-02-25T13:14:52.795,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:53.808,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:54.792,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:54.807,RX,Valid,0xa24c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0xc8
2022-02-25T13:14:55.803,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:55.815,RX,Valid,0xa24c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0xc8
2022-02-25T13:14:56.792,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:56.806,RX,Valid,0xa24c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0xc8
2022-02-25T13:14:57.796,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:57.799,RX,Valid,0x89bd,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0b,0x04
2022-02-25T13:14:58.808,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:58.822,RX,Valid,0xa24c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0xc8
2022-02-25T13:14:59.798,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:15:00.800,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:15:00.806,RX,Valid,0xa24c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0xc8
2022-02-25T13:15:01.804,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:15:01.814,RX,Valid,0x89bd,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0b,0x04
2022-02-25T13:15:02.801,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:15:02.806,RX,Valid,0xa24c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0xc8
2022-02-25T13:15:03.791,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:15:03.797,RX,Valid,0xa24c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0xc8
2022-02-25T13:15:04.801,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:15:04.807,RX,Valid,0x89bd,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0b,0x04
2022-02-25T13:15:05.789,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:15:05.797,RX,Valid,0xa24c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0xc8
